subject,model,n_items,n_templates,frac_near_ceiling,frac_near_floor,phi_all,phi_mid,acc,ratio
high_school_psychology,google_gemma_7b_it,545,100,0.5834862385321101,0.26972477064220185,0.004276976313081753,0.08251108726412854,0.6544954128440367,19.291920558866877
high_school_psychology,meta_llama_llama_3_8b_instruct,545,100,0.7798165137614679,0.13211009174311927,0.0003132054735319352,0.027304433475804173,0.8281284403669725,87.17738284679163
high_school_psychology,mistralai_mistral_7b_instruct_v0_2,545,100,0.6935779816513762,0.1834862385321101,0.00035000571755288735,0.01948029960918217,0.7568807339449541,55.65708967665253
high_school_psychology,tiiuae_falcon_40b,545,100,0.6201834862385321,0.1889908256880734,0.0004853283290207966,0.011303151725375278,0.7224954128440367,23.289701114667327
high_school_world_history,google_gemma_7b_it,237,100,0.5274261603375527,0.270042194092827,0.010252633120286616,0.1417179447505921,0.6444303797468355,13.822590069099276
high_school_world_history,tiiuae_falcon_40b,237,100,0.5316455696202531,0.189873417721519,0.001450588704847556,0.021295265093989404,0.6730379746835443,14.680429416570803
moral_scenarios,codellama_codellama_34b_instruct,895,100,0.16089385474860335,0.48044692737430167,0.001392697709119852,0.01048392837524859,0.32878212290502795,7.527784605802327
moral_scenarios,google_flan_t5_xl,895,100,0.20670391061452514,0.740782122905028,0.0002556623749396853,0.22605679289390954,0.23550837988826814,884.2004731718534
moral_scenarios,google_gemma_7b_it,895,100,0.19664804469273742,0.6703910614525139,0.0003399999299995,0.03126475380774536,0.26065921787709495,91.95517719015807
moral_scenarios,meta_llama_llama_3_70b_instruct,895,100,0.6134078212290502,0.17653631284916202,0.0035354487666184272,0.031345571761590134,0.7266815642458101,8.866080045496297
moral_scenarios,meta_llama_llama_3_8b_instruct,895,100,0.293854748603352,0.3877094972067039,0.0012466060633415826,0.012062416047247585,0.45516201117318433,9.67620517977728
moral_scenarios,mistralai_mistral_7b_instruct_v0_2,895,100,0.1418994413407821,0.582122905027933,0.0012212465195895457,0.010613145935702279,0.2738659217877095,8.690420619801888
moral_scenarios,tiiuae_falcon_40b,895,100,0.08044692737430167,0.48379888268156424,0.0013128703360359105,0.008551792700300561,0.2767709497206704,6.513813638384048
philosophy,codellama_codellama_34b_instruct,311,100,0.4630225080385852,0.28938906752411575,0.000631238004881728,0.009203410410843408,0.5803215434083602,14.579937107189558
philosophy,google_flan_t5_xl,311,100,0.45980707395498394,0.4212218649517685,0.0005666128807127266,0.05730838908719127,0.5047588424437299,101.14205136866046
philosophy,google_gemma_7b_it,311,100,0.4533762057877814,0.3536977491961415,0.0019074865801391658,0.03774292593533639,0.5582315112540193,19.786732094640872
philosophy,meta_llama_llama_3_70b_instruct,311,100,0.7717041800643086,0.13504823151125403,0.0006678553776264039,0.060530742386583326,0.8178135048231511,90.63450623353972
philosophy,meta_llama_llama_3_8b_instruct,311,100,0.6559485530546624,0.2315112540192926,0.0003085290892470131,0.027552674230145863,0.7165916398713826,89.30332727260856
philosophy,mistralai_mistral_7b_instruct_v0_2,311,100,0.5530546623794212,0.2733118971061093,0.0018544443390906935,0.036087741502446195,0.6453054662379422,19.460137326171473
philosophy,tiiuae_falcon_40b,311,100,0.4662379421221865,0.2572347266881029,0.0010201853773638106,0.017625902725124078,0.6113183279742765,17.277156795434507
professional_law,codellama_codellama_34b_instruct,1534,100,0.2457627118644068,0.5234680573663625,0.000604143977221747,0.022555327218430583,0.3523272490221643,37.33435748570212
professional_law,google_flan_t5_xl,1534,100,0.3122555410691004,0.5651890482398957,0.0014527012709451292,0.062455505106036265,0.3761212516297262,42.99266914346584
professional_law,google_gemma_7b_it,1534,100,0.26010430247718386,0.5319426336375489,0.0008833589488593552,0.009422638541552916,0.3590612777053455,10.666828647312599
professional_law,meta_llama_llama_3_70b_instruct,1534,100,0.5821382007822686,0.31877444589308995,0.00010049881939627366,0.00932654008575224,0.6288200782268579,92.80248406677356
professional_law,meta_llama_llama_3_8b_instruct,1534,100,0.36571056062581486,0.439374185136897,0.00032458390239946936,0.011033588452367066,0.46196870925684486,33.993024209770866
professional_law,mistralai_mistral_7b_instruct_v0_2,1534,100,0.2835723598435463,0.4641460234680574,0.00031834083446823113,0.005312958992669899,0.4114146023468057,16.68953026885436
professional_law,tiiuae_falcon_40b,1534,100,0.25749674054758803,0.4471968709256845,0.0005073155076593651,0.006527715849958319,0.40004563233376794,12.867171910584146
world_religions,meta_llama_llama_3_8b_instruct,171,100,0.6783625730994152,0.14035087719298245,0.0032901832595433798,0.09004699028300482,0.7466081871345029,27.368381387820257
