m1,m2,flipped,gap_mean,gap_min,gap_max
google_flan-t5-xl,google_text-bison-001,False,0.18917802067153403,0.0630883555816128,0.2936423741325396
google_flan-t5-xl,meta_opt-iml-max-small,False,0.06369047824182467,0.011076972262496931,0.11456316475771766
google_flan-t5-xl,openai_gpt-3.5-turbo,True,0.14148859930279917,0.06750109061503601,0.27350100571266533
google_flan-t5-xl,openai_gpt-4,False,0.23842233456603568,0.10570217666106763,0.35370717252742234
google_flan-t5-xl,openai_text-davinci-002,True,0.05528160293119236,0.018450123895045634,0.3565095618558095
google_flan-t5-xl,openai_text-davinci-003,True,0.21940941174989226,0.2722753128021813,0.44173158842577354
google_text-bison-001,meta_opt-iml-max-small,False,0.12548754242970941,0.03909080667725395,0.19902909039287564
google_text-bison-001,openai_gpt-3.5-turbo,True,0.04768942136873489,0.007928192307899984,0.20731378037064335
google_text-bison-001,openai_gpt-4,True,0.049244313894501596,0.01454047441761519,0.15844482117068637
google_text-bison-001,openai_text-davinci-002,True,0.1338964177403417,0.005947368151498544,0.41111566520936754
google_text-bison-001,openai_text-davinci-003,True,0.030231391078358223,0.013611696255402705,0.440038502272627
meta_opt-iml-max-small,openai_gpt-3.5-turbo,True,0.0777981210609745,0.008284689977767712,0.20929415268007007
meta_opt-iml-max-small,openai_gpt-4,False,0.17473185632421098,0.0946252043985707,0.3120746694807482
meta_opt-iml-max-small,openai_text-davinci-002,True,0.008408875310632308,0.08101563232137521,0.3720248585321136
meta_opt-iml-max-small,openai_text-davinci-003,True,0.15571893350806762,0.17280955658576047,0.4306546161632766
openai_gpt-3.5-turbo,openai_gpt-4,False,0.0969337352632365,0.013488188694124825,0.19211203459485987
openai_gpt-3.5-turbo,openai_text-davinci-002,True,0.08620699637160682,0.06161167252150679,0.49244191541908633
openai_gpt-3.5-turbo,openai_text-davinci-003,True,0.0779208124470931,0.001225692910484022,0.5213647524823458
openai_gpt-4,openai_text-davinci-002,True,0.18314073163484332,0.07968736383442265,0.5059301041132112
openai_gpt-4,openai_text-davinci-003,True,0.01901292281614338,0.023761294029275848,0.5348529411764706
openai_text-davinci-002,openai_text-davinci-003,True,0.16412780881869993,0.028922837063259432,0.3779881852812897
