subject,model,K,n,acc,sigma2_item,sigma2_template,sigma2_resid,phi,phi_excl_resid,acc_spread
astronomy,mistralai_mixtral_8x7b_instruct_v01,100,152,0.7931578947368421,0.1334364030686791,0.0,0.0315147994409061,0.0,0.0,0.07236842105263164
astronomy,tiiuae_falcon_180b,100,152,0.7567105263157895,0.14375004841020877,4.1588770239868254e-05,0.04125692265985051,0.00022474517108244583,0.000289229408993217,0.08552631578947367
astronomy,tiiuae_falcon_40b,100,152,0.5216447368421052,0.19926188514633966,0.0,0.05161864814051988,0.0,0.0,0.0789473684210526
business_ethics,codellama_codellama_34b_instruct,100,100,0.5653,0.18880916233037445,0.0,0.05897366595245383,0.0,0.0,0.10999999999999999
business_ethics,google_flan_t5_xl,100,100,0.6444,0.20321140699928578,0.0,0.02801485562697684,0.0,0.0,0.07000000000000006
business_ethics,google_flan_t5_xxl,100,100,0.6728,0.20133208856239165,7.754310784613746e-05,0.020746699316396285,0.0003490474815718972,0.00038500198427996016,0.06999999999999995
business_ethics,google_flan_ul2,100,100,0.7028,0.19047223752678302,3.9914294459748655e-05,0.020267156412610957,0.0001893653356878127,0.00020951049094863078,0.06999999999999995
business_ethics,google_gemma_7b,100,100,0.629,0.1801196000408121,3.6771757983880066e-05,0.05500969288848077,0.0001563650692236529,0.00020411022722497912,0.14
business_ethics,google_gemma_7b_it,100,100,0.481,0.18138496071829405,0.0028415263748597084,0.0672615039281706,0.011298855119562221,0.015424092483633455,0.26999999999999996
business_ethics,ibm_mistralai_merlinite_7b,100,100,0.5669,0.18822324252627282,0.0,0.059230292827262526,0.0,0.0,0.12
business_ethics,meta_llama_llama_3_70b_instruct,100,100,0.8415,0.11994735231098869,0.0,0.014633455769819408,0.0,0.0,0.04999999999999993
business_ethics,meta_llama_llama_3_8b,100,100,0.5999,0.17320799918375682,0.00036557494133251727,0.06818897051321293,0.0015121239804927148,0.002106167042853299,0.15000000000000002
business_ethics,meta_llama_llama_3_8b_instruct,100,100,0.6701,0.18237626772778284,6.515661667176764e-05,0.04045302520151005,0.00029232049880331917,0.00035713718474785687,0.12
business_ethics,mistralai_mistral_7b_instruct_v0_2,100,100,0.5678,0.2040384858687889,7.080910111213035e-05,0.04333929190898888,0.0002861568215250582,0.00034691757238479616,0.13
business_ethics,mistralai_mistral_7b_v0_1,100,100,0.4986,0.19716114682175287,0.0006278134884195502,0.05419238853178248,0.0024915077695425816,0.003174158393041825,0.12000000000000005
business_ethics,mistralai_mixtral_8x7b_instruct_v01,100,100,0.6822,0.17027442097745132,5.7341087644106194e-06,0.048230629527599225,2.6241765478737337e-05,3.367455685900299e-05,0.10999999999999999
business_ethics,tiiuae_falcon_180b,100,100,0.7216,0.16727213549637793,0.0,0.03535614733190491,0.0,0.0,0.07000000000000006
business_ethics,tiiuae_falcon_40b,100,100,0.514,0.20362150800938678,7.201305989184836e-05,0.04815222936435058,0.0002859411356667958,0.0003535363300404427,0.13999999999999996
clinical_knowledge,codellama_codellama_34b_instruct,100,265,0.46241509433962263,0.19744813775259742,1.2936685320904822e-05,0.05187347459731679,5.18848485737797e-05,6.551511662604728e-05,0.0641509433962264
clinical_knowledge,google_flan_t5_xl,100,265,0.5397735849056604,0.22528188690795897,0.0,0.024003133103476154,0.0,0.0,0.049056603773584895
clinical_knowledge,google_flan_t5_xxl,100,265,0.6085283018867924,0.22602755975997824,0.0,0.013049341326356762,0.0,0.0,0.037735849056603765
clinical_knowledge,google_flan_ul2,100,265,0.597622641509434,0.22228781525951333,0.0,0.019022361984626136,0.0,0.0,0.037735849056603765
clinical_knowledge,google_gemma_7b,100,265,0.6350566037735849,0.17007469780711634,9.375631674087909e-05,0.06223633706995628,0.0004034181750697695,0.0005509617938506893,0.07547169811320753
clinical_knowledge,google_gemma_7b_it,100,265,0.483811320754717,0.2136901172964638,0.00047408908986953555,0.03638621203458253,0.0018921903737278245,0.0022136709857777104,0.15849056603773587
clinical_knowledge,ibm_mistralai_merlinite_7b,100,265,0.6823396226415094,0.17111870275077823,0.0,0.04629238930182327,0.0,0.0,0.060377358490566024
clinical_knowledge,meta_llama_llama_3_70b_instruct,100,265,0.859622641509434,0.10234589751142067,0.0,0.018729288309048173,0.0,0.0,0.037735849056603765
clinical_knowledge,meta_llama_llama_3_8b,100,265,0.698377358490566,0.17125151746163753,4.2445611056245585e-05,0.04000062662069523,0.00020088356790317585,0.0002477939694712563,0.07169811320754715
clinical_knowledge,meta_llama_llama_3_8b_instruct,100,265,0.7195094339622642,0.17284850506205568,6.396151336117033e-05,0.029557155315302827,0.0003159067160983425,0.0003699068935163973,0.07547169811320764
clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,100,265,0.6371698113207547,0.18754925469676756,0.00034266045243746776,0.04400534793330677,0.0014776390539613445,0.0018237104676130475,0.10188679245283017
clinical_knowledge,mistralai_mistral_7b_v0_1,100,265,0.6465660377358491,0.1737919446032653,0.0005023505495203605,0.05488701480210914,0.0021919350649458637,0.002882197315064168,0.11698113207547167
clinical_knowledge,mistralai_mixtral_8x7b_instruct_v01,100,265,0.7652075471698113,0.15053835380679292,4.159375342908822e-05,0.02965461360315563,0.00023077568009492163,0.000276223721039971,0.05660377358490576
clinical_knowledge,tiiuae_falcon_180b,100,265,0.7100754716981132,0.1644360529249037,0.0,0.04207595393615976,0.0,0.0,0.0641509433962264
clinical_knowledge,tiiuae_falcon_40b,100,265,0.5677358490566038,0.18576181771979372,8.076187836050603e-05,0.060273345230463585,0.0003281456834487421,0.00043457144501080823,0.08679245283018866
college_biology,codellama_codellama_34b_instruct,100,144,0.4570138888888889,0.20860414557384252,0.0001456287819924185,0.04085535326065629,0.0005834366600680238,0.0006976236618305494,0.10416666666666669
college_biology,google_flan_t5_xl,100,144,0.4557638888888889,0.22603604027846455,0.0,0.0236099387425145,0.0,0.0,0.055555555555555525
college_biology,google_flan_t5_xxl,100,144,0.5163194444444444,0.22172557941497334,4.585481858209158e-05,0.029504509940116,0.000182487896853344,0.00020676611819085873,0.07638888888888895
college_biology,google_flan_ul2,100,144,0.5361111111111111,0.2202636014378439,0.0,0.03001903259479017,0.0,0.0,0.05555555555555558
college_biology,google_gemma_7b,100,144,0.7300694444444444,0.1565665297104691,0.00013458202852142216,0.04145843143949205,0.0006791599655647365,0.000858845396997495,0.09722222222222221
college_biology,google_gemma_7b_it,100,144,0.509375,0.2020657232778445,0.0008380620501832629,0.04842330158618037,0.00333454726457455,0.00413034211672491,0.1736111111111111
college_biology,ibm_mistralai_merlinite_7b,100,144,0.7060416666666667,0.1668394021803113,0.00018600927691836777,0.041684781968872875,0.0008912323536522791,0.0011136585462985034,0.11805555555555558
college_biology,meta_llama_llama_3_70b_instruct,100,144,0.9134722222222222,0.06836634605574,4.8013154073760283e-05,0.011102379662985723,0.000603811911232495,0.0007017993682658506,0.05555555555555558
college_biology,meta_llama_llama_3_8b,100,144,0.7383333333333333,0.15562292505474323,0.00025341801856953376,0.03840679522497704,0.0013043747429097633,0.0016257631759448229,0.09722222222222221
college_biology,meta_llama_llama_3_8b_instruct,100,144,0.7734027777777778,0.1504808869581597,0.00017818040545313277,0.02564042228814956,0.0010106688669665788,0.001182672962013615,0.11111111111111116
college_biology,mistralai_mistral_7b_instruct_v0_2,100,144,0.6727083333333334,0.18604111236686996,6.586847495938392e-05,0.035359917159159586,0.0002974190524811062,0.0003539280185054689,0.08333333333333337
college_biology,mistralai_mistral_7b_v0_1,100,144,0.668125,0.1765272970576001,0.0005741761044791347,0.04586732221201918,0.002575141079790015,0.003242074129748553,0.11111111111111105
college_biology,mistralai_mixtral_8x7b_instruct_v01,100,144,0.8267361111111111,0.1134224529679075,1.2930391718270593e-05,0.030598040427585883,8.977354962674052e-05,0.0001139890511700145,0.07638888888888895
college_biology,tiiuae_falcon_180b,100,144,0.8108333333333333,0.1219235184007911,0.00011558867619473644,0.03219361446634174,0.0007494432766153639,0.0009471445585210625,0.09722222222222232
college_biology,tiiuae_falcon_40b,100,144,0.6373611111111112,0.1789272680181771,0.00016733967491543224,0.0532852416943326,0.0007201126748147705,0.0009343646750224648,0.125
college_chemistry,codellama_codellama_34b_instruct,100,100,0.3446,0.17331374349556172,0.00011172329354147525,0.054165044383226196,0.0004908960965287319,0.0006442150372144487,0.12999999999999995
college_chemistry,google_flan_t5_xl,100,100,0.338,0.18682848688909293,0.0004406081012141617,0.03836343230282624,0.0019527685413980235,0.0023528073398174283,0.12
college_chemistry,google_flan_t5_xxl,100,100,0.3812,0.21406476890113246,8.295071931435593e-05,0.023882705846342205,0.00034848788406644074,0.0003873528023617385,0.06999999999999995
college_chemistry,google_flan_ul2,100,100,0.4282,0.21600689725538214,9.982654831139702e-05,0.030902193653708807,0.0004041414752915247,0.000461931709270079,0.07999999999999996
college_chemistry,google_gemma_7b,100,100,0.4173,0.1719093561881441,0.00010531578410366282,0.07287347209468421,0.00043005668773772186,0.0006122488442186727,0.13
college_chemistry,google_gemma_7b_it,100,100,0.3335,0.17401071319253136,0.0007117232935414755,0.049307468625650434,0.0031769119983626314,0.0040734510567462644,0.15999999999999998
college_chemistry,ibm_mistralai_merlinite_7b,100,100,0.431,0.1991584328129783,0.00018469543924089365,0.04789409243954698,0.0007470373543438098,0.0009265202209890449,0.12
college_chemistry,meta_llama_llama_3_70b_instruct,100,100,0.5633,0.22906654423018058,3.917967554330319e-06,0.019215273951637586,1.578007506630671e-05,1.7103765875097017e-05,0.06999999999999995
college_chemistry,meta_llama_llama_3_8b,100,100,0.4161,0.1817300683603714,0.0005320885623915921,0.06252750739720438,0.0021736561626069842,0.002919358419625609,0.14999999999999997
college_chemistry,meta_llama_llama_3_8b_instruct,100,100,0.4498,0.20925599428629732,6.609529639832655e-05,0.0402551168248138,0.0002648290577081234,0.0003157588218715668,0.12
college_chemistry,mistralai_mistral_7b_instruct_v0_2,100,100,0.3695,0.19355980002040613,0.0008991939598000201,0.04045939189878584,0.0038276866088429577,0.004624080076705265,0.14
college_chemistry,mistralai_mistral_7b_v0_1,100,100,0.4161,0.18514349556167742,0.0005152127333945514,0.05916458524640343,0.0021044269356145615,0.002775052881310103,0.15999999999999998
college_chemistry,mistralai_mixtral_8x7b_instruct_v01,100,100,0.5066,0.21746552392612992,0.0,0.03470417304356698,0.0,0.0,0.09000000000000002
college_chemistry,tiiuae_falcon_180b,100,100,0.4826,0.20150586674829107,6.74829099071525e-05,0.050144638302214065,0.0002680893425771604,0.0003347809123655543,0.14000000000000007
