corpus,cell,K_available,K_pool,n_subsets,phi_min,phi_p25,phi_med,phi_p75,phi_max,phi_full,phi_greedy_min,phi_greedy_max
PromptEval,high_school_world_history|tiiuae_falcon_40b,100,20,1500,0.0,6.376109970147451e-05,0.0003238983149112314,0.0006238953720522353,0.0018082089364776673,0.00034431010011090705,,
PromptEval,high_school_world_history|tiiuae_falcon_40b,100,50,1500,0.0,0.00020335635663907685,0.0003485446655609949,0.0004948535273094279,0.0009025071785393255,0.00034431010011090705,,
PromptEval,high_school_world_history|tiiuae_falcon_40b,100,100,1,0.00034431010011090705,0.00034431010011090705,0.00034431010011090705,0.00034431010011090705,0.00034431010011090705,0.00034431010011090705,,
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,2,1500,0.0,0.0,0.00024227821895805228,0.0014649496655327115,0.01296902968691953,0.0010133271437364128,0.0,0.01296902968691953
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,3,1500,0.0,2.8256820465148243e-05,0.0006523474584014387,0.001658013938889848,0.006377277599142546,0.0010133271437364128,0.0,0.008071277467976786
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,4,1500,0.0,0.00023227815544569968,0.0008218026095094286,0.001601499172323048,0.006521005178998485,0.0010133271437364128,0.0,0.007488566068159047
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,5,1500,0.0,0.0003458654815131396,0.0008711692075427891,0.0015004886312284594,0.004172181570535219,0.0010133271437364128,0.0,0.0065956976231828415
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,6,1500,0.0,0.0004115539062056478,0.0009090561857742367,0.0014835671440900562,0.0039637106982403246,0.0010133271437364128,0.0,0.00636306496426903
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,8,1500,0.0,0.0005309542916435171,0.0009350936940852732,0.001382849842080422,0.003991916263393262,0.0010133271437364128,0.0,0.005837489497610971
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,10,1500,0.0,0.0006129452322569869,0.0009634246096521589,0.0013800815375976376,0.002854139386696927,0.0010133271437364128,0.0,0.005509304803473461
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,20,1500,0.0,0.0007885536154215553,0.0010023863344865822,0.0012476370562475177,0.002342285189871846,0.0010133271437364128,,
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,50,1500,0.00044675818551891355,0.0008894436360173581,0.0010070802888808377,0.0011310744881030295,0.001633775373913746,0.0010133271437364128,,
PromptEval,moral_scenarios|codellama_codellama_34b_instruct,100,100,1,0.0010133271437364128,0.0010133271437364128,0.0010133271437364128,0.0010133271437364128,0.0010133271437364128,0.0010133271437364128,,
PromptEval,moral_scenarios|google_flan_t5_xl,100,2,1500,0.0,0.0,4.0780816703822415e-05,0.0002739371550001057,0.0022381284178965813,0.00018520304533904168,0.0,0.0022381284178965813
